Id;Noveny;Termohelyi_kat;KA_intv;Evszak;Nadag;Megosztas
1;õszi búza;1;0,42;õsz;N%;70
2;õszi búza;1;0,42;õsz;Nmax kg/ha;100
3;õszi búza;1;0,42;tavasz;N%;30
4;õszi búza;1;0,42;õsz;P,K%;100
5;õszi búza;1;0,42;tavasz;P,K%;-
6;õszi búza;1;42,100;õsz;N%;80
7;õszi búza;1;42,100;õsz;Nmax kg/ha;100
8;õszi búza;1;42,100;tavasz;N%;20
9;õszi búza;1;42,100;õsz;P,K%;100
10;õszi búza;1;42,100;tavasz;P,K%;-
11;õszi búza;2;0,38;õsz;N%;60
12;õszi búza;2;0,38;õsz;Nmax kg/ha;90
13;õszi búza;2;0,38;tavasz;N%;40
14;õszi búza;2;0,38;õsz;P,K%;100
15;õszi búza;2;0,38;tavasz;P,K%;-
16;õszi búza;2;38,100;õsz;N%;70
17;õszi búza;2;38,100;õsz;Nmax kg/ha;90
18;õszi búza;2;38,100;tavasz;N%;30
19;õszi búza;2;38,100;õsz;P,K%;100
20;õszi búza;2;38,100;tavasz;P,K%;-
21;õszi búza;3;0,50;õsz;N%;75
22;õszi búza;3;0,50;õsz;Nmax kg/ha;100
23;õszi búza;3;0,50;tavasz;N%;25
24;õszi búza;3;0,50;õsz;P,K%;100
25;õszi búza;3;0,50;tavasz;P,K%;-
26;õszi búza;3;50,100;õsz;N%;75
27;õszi búza;3;50,100;õsz;Nmax kg/ha;100
28;õszi búza;3;50,100;tavasz;N%;25
29;õszi búza;3;50,100;õsz;P,K%;100
30;õszi búza;3;50,100;tavasz;P,K%;-
31;õszi búza;4;0,30;õsz;N%;40
32;õszi búza;4;0,30;õsz;Nmax kg/ha;80
33;õszi búza;4;0,30;tavasz;N%;60
34;õszi búza;4;0,30;õsz;P,K%;80
35;õszi búza;4;0,30;tavasz;P,K%;20
36;õszi búza;4;30,38;õsz;N%;50
37;õszi búza;4;30,38;õsz;Nmax kg/ha;80
38;õszi búza;4;30,38;tavasz;N%;50
39;õszi búza;4;30,38;õsz;P,K%;80
40;õszi búza;4;30,38;tavasz;P,K%;20
41;õszi búza;5;0,50;õsz;N%;75
42;õszi búza;5;0,50;õsz;Nmax kg/ha;90
43;õszi búza;5;0,50;tavasz;N%;25
44;õszi búza;5;0,50;õsz;P,K%;100
45;õszi búza;5;0,50;tavasz;P,K%;-
46;õszi búza;5;50,100;õsz;N%;75
47;õszi búza;5;50,100;õsz;Nmax kg/ha;90
48;õszi búza;5;50,100;tavasz;N%;25
49;õszi búza;5;50,100;õsz;P,K%;100
50;õszi búza;5;50,100;tavasz;P,K%;-
51;õszi búza;6;0,42;õsz;N%;50
52;õszi búza;6;0,42;õsz;Nmax kg/ha;70
53;õszi búza;6;0,42;tavasz;N%;50
54;õszi búza;6;0,42;õsz;P,K%;80
55;õszi búza;6;0,42;tavasz;P,K%;20
56;õszi búza;6;42,100;õsz;N%;60
57;õszi búza;6;42,100;õsz;Nmax kg/ha;70
58;õszi búza;6;42,100;tavasz;N%;40
59;õszi búza;6;42,100;õsz;P,K%;80
60;õszi búza;6;42,100;tavasz;P,K%;20
61;õszi árpa;1;0,42;õsz;N%;70
62;õszi árpa;1;0,42;õsz;Nmax kg/ha;80
63;õszi árpa;1;0,42;tavasz;N%;30
64;õszi árpa;1;0,42;õsz;P,K%;100
65;õszi árpa;1;0,42;tavasz;P,K%;-
66;õszi árpa;1;42,100;õsz;N%;80
67;õszi árpa;1;42,100;õsz;Nmax kg/ha;80
68;õszi árpa;1;42,100;tavasz;N%;20
69;õszi árpa;1;42,100;õsz;P,K%;100
70;õszi árpa;1;42,100;tavasz;P,K%;-
71;õszi árpa;2;0,38;õsz;N%;70
72;õszi árpa;2;0,38;õsz;Nmax kg/ha;80
73;õszi árpa;2;0,38;tavasz;N%;30
74;õszi árpa;2;0,38;õsz;P,K%;100
75;õszi árpa;2;0,38;tavasz;P,K%;-
76;õszi árpa;2;38,100;õsz;N%;80
77;õszi árpa;2;38,100;õsz;Nmax kg/ha;80
78;õszi árpa;2;38,100;tavasz;N%;20
79;õszi árpa;2;38,100;õsz;P,K%;100
80;õszi árpa;2;38,100;tavasz;P,K%;-
81;õszi árpa;3;0,50;õsz;N%;75
82;õszi árpa;3;0,50;õsz;Nmax kg/ha;80
83;õszi árpa;3;0,50;tavasz;N%;25
84;õszi árpa;3;0,50;õsz;P,K%;100
85;õszi árpa;3;0,50;tavasz;P,K%;-
86;õszi árpa;3;50,100;õsz;N%;75
87;õszi árpa;3;50,100;õsz;Nmax kg/ha;80
88;õszi árpa;3;50,100;tavasz;N%;25
89;õszi árpa;3;50,100;õsz;P,K%;100
90;õszi árpa;3;50,100;tavasz;P,K%;-
91;õszi árpa;4;0,30;õsz;N%;50
92;õszi árpa;4;0,30;õsz;Nmax kg/ha;70
93;õszi árpa;4;0,30;tavasz;N%;50
94;õszi árpa;4;0,30;õsz;P,K%;100
95;õszi árpa;4;0,30;tavasz;P,K%;-
96;õszi árpa;4;30,38;õsz;N%;60
97;õszi árpa;4;30,38;õsz;Nmax kg/ha;70
98;õszi árpa;4;30,38;tavasz;N%;40
99;õszi árpa;4;30,38;õsz;P,K%;100
100;õszi árpa;4;30,38;tavasz;P,K%;-
101;õszi árpa;5;0,50;õsz;N%;80
102;õszi árpa;5;0,50;õsz;Nmax kg/ha;80
103;õszi árpa;5;0,50;tavasz;N%;20
104;õszi árpa;5;0,50;õsz;P,K%;100
105;õszi árpa;5;0,50;tavasz;P,K%;-
106;õszi árpa;5;50,100;õsz;N%;80
107;õszi árpa;5;50,100;õsz;Nmax kg/ha;80
108;õszi árpa;5;50,100;tavasz;N%;20
109;õszi árpa;5;50,100;õsz;P,K%;100
110;õszi árpa;5;50,100;tavasz;P,K%;-
111;õszi árpa;6;0,42;õsz;N%;50
112;õszi árpa;6;0,42;õsz;Nmax kg/ha;70
113;õszi árpa;6;0,42;tavasz;N%;50
114;õszi árpa;6;0,42;õsz;P,K%;100
115;õszi árpa;6;0,42;tavasz;P,K%;-
116;õszi árpa;6;42,100;õsz;N%;60
117;õszi árpa;6;42,100;õsz;Nmax kg/ha;70
118;õszi árpa;6;42,100;tavasz;N%;40
119;õszi árpa;6;42,100;õsz;P,K%;100
120;õszi árpa;6;42,100;tavasz;P,K%;-
121;tavaszi árpa;1;0,42;õsz;N%;-
122;tavaszi árpa;1;0,42;õsz;Nmax kg/ha;-
123;tavaszi árpa;1;0,42;tavasz;N%;100
124;tavaszi árpa;1;0,42;õsz;P,K%;100
125;tavaszi árpa;1;0,42;tavasz;P,K%;-
126;tavaszi árpa;1;42,100;õsz;N%;-
127;tavaszi árpa;1;42,100;õsz;Nmax kg/ha;-
128;tavaszi árpa;1;42,100;tavasz;N%;100
129;tavaszi árpa;1;42,100;õsz;P,K%;100
130;tavaszi árpa;1;42,100;tavasz;P,K%;-
131;tavaszi árpa;2;0,38;õsz;N%;-
132;tavaszi árpa;2;0,38;õsz;Nmax kg/ha;-
133;tavaszi árpa;2;0,38;tavasz;N%;100
134;tavaszi árpa;2;0,38;õsz;P,K%;100
135;tavaszi árpa;2;0,38;tavasz;P,K%;-
136;tavaszi árpa;2;38,100;õsz;N%;-
137;tavaszi árpa;2;38,100;õsz;Nmax kg/ha;-
138;tavaszi árpa;2;38,100;tavasz;N%;100
139;tavaszi árpa;2;38,100;õsz;P,K%;100
140;tavaszi árpa;2;38,100;tavasz;P,K%;-
141;tavaszi árpa;6;0,42;õsz;N%;-
142;tavaszi árpa;6;0,42;õsz;Nmax kg/ha;-
143;tavaszi árpa;6;0,42;tavasz;N%;100
144;tavaszi árpa;6;0,42;õsz;P,K%;75
145;tavaszi árpa;6;0,42;tavasz;P,K%;25
146;tavaszi árpa;6;42,100;õsz;N%;-
147;tavaszi árpa;6;42,100;õsz;Nmax kg/ha;-
148;tavaszi árpa;6;42,100;tavasz;N%;100
149;tavaszi árpa;6;42,100;õsz;P,K%;75
150;tavaszi árpa;6;42,100;tavasz;P,K%;25
151;rozs;4;0,30;õsz;N%;40
152;rozs;4;0,30;õsz;Nmax kg/ha;50
153;rozs;4;0,30;tavasz;N%;60
154;rozs;4;0,30;õsz;P,K%;100
155;rozs;4;0,30;tavasz;P,K%;-
156;rozs;4;30,38;õsz;N%;50
157;rozs;4;30,38;õsz;Nmax kg/ha;50
158;rozs;4;30,38;tavasz;N%;50
159;rozs;4;30,38;õsz;P,K%;100
160;rozs;4;30,38;tavasz;P,K%;-
161;rozs;6;0,42;õsz;N%;60
162;rozs;6;0,42;õsz;Nmax kg/ha;60
163;rozs;6;0,42;tavasz;N%;40
164;rozs;6;0,42;õsz;P,K%;100
165;rozs;6;0,42;tavasz;P,K%;-
166;rozs;6;42,100;õsz;N%;70
167;rozs;6;42,100;õsz;Nmax kg/ha;60
168;rozs;6;42,100;tavasz;N%;30
169;rozs;6;42,100;õsz;P,K%;100
