Id;Termohelyi_kat;Nmax_Labor_param_0;Nmax_Labor_param_1;Nmax_Minosites;Nmax_Param_nev
1;1;42,100;0,42;NULL;KA
2;1;0,2.4;0,1.9;gyenge;HUMUSZ
3;1;2.4,3;1.91,2.5;közepes;HUMUSZ
4;1;3,100;2.5,100;jó;HUMUSZ
5;2;38,100;0,38;NULL;KA
6;2;0,1.9;0,1.5;gyenge;HUMUSZ
7;2;1.9,2.5;1.5,2;közepes;HUMUSZ
8;2;2.5,100;2,100;jó;HUMUSZ
9;3;50,100;0,50;NULL;KA
10;3;0,2.5;0,2;gyenge;HUMUSZ
11;3;2.5,3.3;2,2.8;közepes;HUMUSZ
12;3;3.3,100;2.8,100;jó;HUMUSZ
13;4;30,38;0,30;NULL;KA
14;4;0,1;0,0.7;gyenge;HUMUSZ
15;4;1,1.5;0,7,1.2;közepes;HUMUSZ
16;4;1.5,100;1.2,100;jó;HUMUSZ
