Id;Termohelyi_kat;Noveny;Minosites;NitratMax
1;1;õszi búza;gyenge;190
2;1;õszi búza;közepes;170
3;1;õszi búza;jó;130
4;2;õszi búza;gyenge;170
5;2;õszi búza;közepes;155
6;2;õszi búza;jó;125
7;3;õszi búza;gyenge;170
8;3;õszi búza;közepes;155
9;3;õszi búza;jó;135
10;4;õszi búza;gyenge;130
11;4;õszi búza;közepes;120
12;4;õszi búza;jó;110
13;1;õszi árpa;gyenge;160
14;1;õszi árpa;közepes;140
15;1;õszi árpa;jó;100
16;2;õszi árpa;gyenge;150
17;2;õszi árpa;közepes;125
18;2;õszi árpa;jó;90
19;3;õszi árpa;gyenge;135
20;3;õszi árpa;közepes;110
21;3;õszi árpa;jó;90
22;4;õszi árpa;gyenge;110
23;4;õszi árpa;közepes;100
24;4;õszi árpa;jó;80
25;1;tavaszi árpa;gyenge;110
26;1;tavaszi árpa;közepes;90
27;1;tavaszi árpa;jó;80
28;2;tavaszi árpa;gyenge;110
29;2;tavaszi árpa;közepes;90
30;2;tavaszi árpa;jó;80
31;3;tavaszi árpa;gyenge;100
32;3;tavaszi árpa;közepes;80
33;3;tavaszi árpa;jó;70
34;4;tavaszi árpa;gyenge;-
35;4;tavaszi árpa;közepes;-
36;4;tavaszi árpa;jó;-
37;1;rozs;gyenge;-
38;1;rozs;közepes;-
39;1;rozs;jó;-
40;2;rozs;gyenge;-
41;2;rozs;közepes;-
42;2;rozs;jó;-
43;3;rozs;gyenge;-
44;3;rozs;közepes;-
45;3;rozs;jó;-
46;4;rozs;gyenge;100
47;4;rozs;közepes;90
48;4;rozs;jó;80
49;1;kukorica;gyenge;190
50;1;kukorica;közepes;170
51;1;kukorica;jó;150
52;2;kukorica;gyenge;190
53;2;kukorica;közepes;160
54;2;kukorica;jó;150
55;3;kukorica;gyenge;180
56;3;kukorica;közepes;160
57;3;kukorica;jó;140
58;4;kukorica;gyenge;150
59;4;kukorica;közepes;130
60;4;kukorica;jó;120
61;1;napraforgó;gyenge;110
62;1;napraforgó;közepes;100
63;1;napraforgó;jó;80
64;2;napraforgó;gyenge;100
65;2;napraforgó;közepes;85
66;2;napraforgó;jó;70
67;3;napraforgó;gyenge;90
68;3;napraforgó;közepes;75
69;3;napraforgó;jó;50
70;4;napraforgó;gyenge;75
71;4;napraforgó;közepes;70
72;4;napraforgó;jó;60
73;1;repce;gyenge;180
74;1;repce;közepes;160
75;1;repce;jó;140
76;2;repce;gyenge;170
77;2;repce;közepes;150
78;2;repce;jó;120
79;3;repce;gyenge;140
80;3;repce;közepes;120
81;3;repce;jó;100
82;4;repce;gyenge;-
83;4;repce;közepes;-
84;4;repce;jó;-
85;1;szója;gyenge;110
86;1;szója;közepes;100
87;1;szója;jó;80
88;2;szója;gyenge;100
89;2;szója;közepes;90
90;2;szója;jó;75
91;3;szója;gyenge;100
92;3;szója;közepes;90
93;3;szója;jó;80
94;4;szója;gyenge;-
95;4;szója;közepes;-
96;4;szója;jó;-
97;1;lucerna;gyenge;120
98;1;lucerna;közepes;100
99;1;lucerna;jó;70
100;2;lucerna;gyenge;100
101;2;lucerna;közepes;85
102;2;lucerna;jó;70
103;3;lucerna;gyenge;80
104;3;lucerna;közepes;70
105;3;lucerna;jó;60
106;4;lucerna;gyenge;80
107;4;lucerna;közepes;60
108;4;lucerna;jó;50
