Id;TapEll_param;Termohelyi_kat_tapell;Lab_param_0;Lab_param_1;Minosites;Param_nev
1;Nitrogen;1;42,100;0,42;;KA
2;Nitrogen;1;0,2;0,1.5;igen gyenge;HUMUSZ
3;Nitrogen;1;2.01,2.04;1.51,1.9;gyenge;HUMUSZ
4;Nitrogen;1;2.41,3;1.91,2.5;közepes;HUMUSZ
5;Nitrogen;1;3.01,4;2.51,3.5;jó;HUMUSZ
6;Nitrogen;1;4.01,10;3.51,10;igen jó;HUMUSZ
7;Nitrogen;2;38,100;0,38;;KA
8;Nitrogen;2;0,1.5;0,1.2;igen gyenge;HUMUSZ
9;Nitrogen;2;1.51,1.9;1.21,1.5;gyenge;HUMUSZ
10;Nitrogen;2;1.91,2.5;1.51,2;közepes;HUMUSZ
11;Nitrogen;2;2.51,3.5;2.01,3;jó;HUMUSZ
12;Nitrogen;2;3.51,10;3.01,10;igen jó;HUMUSZ
13;Nitrogen;3;50,100;0,50;;KA
14;Nitrogen;3;0,2;0,1.6;igen gyenge;HUMUSZ
15;Nitrogen;3;2.01,2.5;1.61,2;gyenge;HUMUSZ
16;Nitrogen;3;2.51,3.3;2.01,2.8;közepes;HUMUSZ
17;Nitrogen;3;3.31,4.5;2.81,4;jó;HUMUSZ
18;Nitrogen;3;4.51,10;4.01,10;igen jó;HUMUSZ
19;Nitrogen;4;30,38;0,30;;KA
20;Nitrogen;4;0,0.7;0,0.4;igen gyenge;HUMUSZ
21;Nitrogen;4;0.71,1;0.41,0.7;gyenge;HUMUSZ
22;Nitrogen;4;1.01,1.5;0.71,1,2;közepes;HUMUSZ
23;Nitrogen;4;1.51,2.5;1.21,2;jó;HUMUSZ
24;Nitrogen;4;2.51,10;2.01,10;igen jó;HUMUSZ
25;Nitrogen;5;50,100;0,50;;KA
26;Nitrogen;5;0,1.8;0,1.4;igen gyenge;HUMUSZ
27;Nitrogen;5;1.81,2.3;1.41,1.8;gyenge;HUMUSZ
