TABLA_lab;KOZIG;BLOKK;HRSZ;TER;MINTA_JELE;PH_KCL;KA;SO;MESZ;HUMUSZ;S;NO3;P2O5;K2O;NA;MG;ZN;CU;MN
33;Nagycenk;C9 + K10NWE15;Nagycenk 050/2;18,065;TVG1;6,07;39;0,02;0,66944;2,08816858;44,05313474;14,904;261,749;333;34,2;157,1;3,6;2,35;259
33;Nagycenk;C9 + K10NWE15;Nagycenk 050/2;;TVG2;5,87;37;0,02;1,00416;1,877242461;23,72091871;17,325;263,117;268;31,9;154,8;2,84;2,9;290
33;Nagycenk;C9 + K10NWE15;Nagycenk 050/2;;TVG3;6,61;41;0,02;1,33888;3,005697199;22,59135115;7,134;263,679;322;34,3;138,7;3,8;4,06;271
33;Nagycenk;C9 + K10NWE15;Nagycenk 050/2;;TVG4;6,7;40;0,02;1,33888;3,216623318;40,66443207;26,79;304,177;462;43,4;151,1;3,49;4,31;217
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;66,7168;TVG1;6,85;55;0,07;3,3472;5,568449547;55,9135941;43,64;148,99;611;78,8;532,6;5,45;1,82;28
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG2;6,81;60;0,09;3,3472;5,76882936;68,33883723;68,31;266,141;635;78,9;603,6;5,67;2,68;24
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG3;6,67;63;0,09;2,67776;5,800468278;71,16275612;59,13;145,562;602;79,3;612,3;6,49;4,02;20
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG4;6,71;60;0,1;3,68192;5,76882936;58,73751299;57,09;153,015;680;83,8;540,9;5,51;3,85;21
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG5;6,3;63;0,05;0,1;6,095764845;45,1827023;27,646;263,411;585;83,5;609,3;8,37;8,99;43
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG6;5,31;63;0,06;0,1;6,296144658;33,88702672;27,005;161,543;440;106,4;585,7;8,59;9,52;36
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG7;5,23;65;0,05;0,1;7,456238314;36,14616184;12,292;152,911;815;165,7;555,2;13,43;9,48;42
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG8;5,5;61;0,03;0,1;6,201227904;32,75745917;15,527;147,616;766;126,2;557,7;8,85;9,37;25
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG9;5,23;63;0,07;0,1;6,623080143;31,06310783;30,21;147,102;677;74,9;620,6;9,12;9,33;19
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG10;5,4;64;0,07;0,1;6,159042681;39,53486451;35,07;146,882;611;67,4;632,9;8,45;9,37;24
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG11;4,72;67;0,09;0,1;6,76018212;32,75745917;69,97;266,064;571;46,1;611,4;7,3;8,8;17
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG12;5,16;67;0,07;0,1;6,675811673;41,79399963;52,14;166,02;585;31,4;618,6;7,16;8,67;12
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG13;6,08;62;0,06;0,1;6,338329882;49,13618875;29,94;145,717;364;31,7;601,6;4,31;6,86;19
34;Kapuvár;M2 + K1V24W15;Kapuvár 0402/1;;TVG14;6,62;61;0,09;2,00832;5,895385032;71,83411796;44,83;141,599;337;36,2;443,7;3,84;3,67;21
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;108,3138;TVG1;4,76;54;0,09;0,1;5,811014584;35,35585494;45,235;150,368;529;50,4;536,5;5,6;9,48;26
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;;TVG2;5,18;55;0,1;0,1;5,737190442;45,45752777;59,14;144,439;559;63,5;617,9;5,95;8,77;31
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;;TVG3;4,88;55;0,07;0,1;5,884838726;30,30501852;36,815;267,338;390;29,3;534,4;5,76;9,62;30
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;;TVG4;5,1;60;0,07;0,1;5,832107196;30,86622256;69,445;95,022;386;40,4;584;5,5;9,11;50
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;;TVG5;6,1;60;0,09;0,1;5,87429242;48,82475205;43,59;220,465;371;33,4;635,4;5,18;9,08;36
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;;TVG6;6,06;65;0,13;0,1;5,82156089;49,94716015;75,38;260,729;566;65,7;654,1;6,29;9,68;54
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;;TVG7;6,01;62;0,17;1,00416;5,789921972;41,52909945;115,37;171,158;562;79,6;642,3;7,02;9,55;81
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;;TVG8;6,23;64;0,17;0,33472;5,779375666;60,04883299;147,67;148,465;639;78,4;633,3;7,03;8,17;45
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;;TVG9;6,7;56;0,21;1,33888;5,789921972;94,28227983;215,37;140,037;927;78,9;469,5;5,3;4,28;21
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;;TVG10;6,39;57;0,14;0,66944;5,009495331;70,71170987;140,2;121,077;601;62,2;530,9;6,61;8,42;24
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;;TVG11;4,86;67;0,12;0,1;5,71609783;45,45752777;48,665;82,05;441;55,9;521,9;6,24;8,37;117
35;Kapuvár;M10 + K1XF4D15;Kapuvár 0363;;TVG12;4,52;60;0,14;0,1;6,021940703;41,52909945;119,55;94,945;795;84,6;465;7,41;8,42;34
