TABLA;Termohelyi_kat_techn;Tnov_nev;Tnov_term;Evet_nev;Evet_term;Evet_N;Evet_P2O5;Evet_K2O;Evet_szarlsz;Evet_szarlb;Evet_kar;Ontozes;Ontozes_hat;Istallotr;Egyb_szervtr;Nitrat_erz
33;2;õszi búza;6;;;;;;;;;;;;;1
34;3;õszi búza;6;;;;;;;;;;;;;1
35;3;õszi búza;6;;;;;;;;;;;;;1
36;3;õszi búza;6;;;;;;;;;;;;;1
37;2;õszi búza;6;;;;;;;;;;;;;1
38;2;õszi búza;6;;;;;;;;;;;;;1
39;3;õszi búza;6;;;;;;;;;;;;;1
40;3;õszi búza;6;;;;;;;;;;;;;1
41;3;õszi búza;6;;;;;;;;;;;;;1
42;3;õszi búza;6;;;;;;;;;;;;;1
44;3;õszi búza;6;;;;;;;;;;;;;1
45;3;õszi búza;6;;;;;;;;;;;;;1
46;3;õszi búza;6;;;;;;;;;;;;;1
47;3;õszi búza;6;;;;;;;;;;;;;1
48;2;õszi búza;6;;;;;;;;;;;;;1
49;3;õszi búza;6;;;;;;;;;;;;;1
50;3;õszi búza;6;;;;;;;;;;;;;1
53;2;õszi búza;6;;;;;;;;;;;;;1
55;2;õszi búza;6;;;;;;;;;;;;;1
56;2;õszi búza;6;;;;;;;;;;;;;1
57;2;õszi búza;6;;;;;;;;;;;;;1
59;2;õszi búza;6;;;;;;;;;;;;;1
63;3;õszi búza;6;;;;;;;;;;;;;1
