TABLA_lab;KOZIG;BLOKK;HRSZ;TER;MINTA_JELE;PH_KCL;KA;SO;MESZ;HUMUSZ;S;NO3;P2O5;K2O;NA;MG;ZN;CU;MN
A-18;Nagylózs;nincs adat;nincs adat;10,57;A-18;7,536666667;25,33333333;0,02;0,6094;1,241254303;;2,806333333;668,3333333;206,6666667;26,03333333;83,36666667;1,87;3,253333333;170,3333333
B-47a;Nagylózs;nincs adat;nincs adat;3,9;B-47a;7,303333333;35,33333333;0,026666667;1,33408;1,444969423;;6,036666667;121,6793333;361;29,4;375,3666667;1,346666667;3,363333333;253,6666667
B-59;Nagylózs;nincs adat;nincs adat;10,99;B-59;5,906666667;34;0,046666667;0,1;1,431456965;;15,83933333;77,83633333;421,3333333;9;42,33333333;1,546666667;2,18;329,6666667
C-83;Nagylózs;nincs adat;nincs adat;8,9;C-83;7,327142857;39,28571429;0,035714286;0,746302857;1,663281738;;4,454857143;143,3904286;420,5714286;10,31428571;69,92857143;1,697142857;2,644285714;323,7142857
A-26;Nagylózs;nincs adat;nincs adat;24,1;A-26;6,55;33,4;0,044;1,225936;1,455371521;;9,4338;190,0688;365,2;9,06;60,34;1,792;2,062;340
B-55;Nagylózs;nincs adat;nincs adat;12,74;B-55;5,08;30,33333333;0,02;0,1;1,419499687;;7,901;43,034;375,3333333;9;42,1;1,236666667;2,43;321,3333333
B-68;Nagylózs;nincs adat;nincs adat;3,02;B-68;6,59;34,5;0,035;0,33352;1,44671035;;7,8915;314,2995;262,5;25,55;195,25;4,86;3,92;418,5
A-14;Nagylózs;nincs adat;nincs adat;3,16;A-14;7,11;29;0,02;0,1;1,424624235;;1;110,343;416;9;45,4;1,61;3,49;270
B-46;Nagylózs;nincs adat;nincs adat;8;B-46;6,29;25,85714286;0,02;0,423548571;1,259174555;;3,636285714;63,35857143;311,5714286;9;34,52857143;1,085714286;2,6;352,1428571
B-66;Nagylózs;nincs adat;nincs adat;2,07;B-66;7,63;35;0,02;0,3324;1,445929215;;3,824;644;341;34,1;118,7;0,67;1,33;33
B-79;Nagylózs;nincs adat;nincs adat;3,3;B-79;7,39;34;0,04;0,4986;1,43602559;;12,472;299,523;231;23,2;144,8;0,87;2,99;125
B-70a;Nagylózs;nincs adat;nincs adat;18;B-70a;6,693333333;32;0,02;0,444693333;1,41711459;;5,016;63,08166667;246,3333333;21,9;156,4666667;1,346666667;3,133333333;350
B-78;Nagylózs;nincs adat;nincs adat;41,64;B-78;7,57;35,5;0,02;4,4874;1,512778682;;3,5015;432,86375;325,75;28,675;102,6;0,61;2,78;119,5
C-80;Nagylózs;nincs adat;nincs adat;8,7;C-80;6,935;43,5;0,05;0,75834;1,844837139;;6,8355;77,0915;367,5;9;76,5;1,12;2,51;372,5
A-23;Nagylózs;nincs adat;nincs adat;14,25;A-23;7,433333333;41;0,033333333;0,232866667;1,716628292;;3,391333333;119,713;315,3333333;28,1;105,7;1,346666667;1,266666667;80
C-98;Nagylózs;nincs adat;nincs adat;7,29;C-98;7,085;42,5;0,045;0,8926;1,767968925;;7,062;492,4865;528;9,2;87,2;2,505;4,655;307,5
C-102;Nagylózs;nincs adat;nincs adat;6;C-102;6,74;46,66666667;0,06;2,02224;1,838004409;;9,122;93,64633333;352,3333333;9;76,26666667;1,323333333;2,893333333;272,3333333
C-117;Nagylózs;nincs adat;nincs adat;9,97;C-117;6,605;41,25;0,0475;0,1;1,819628501;;7,63275;72,32375;486,25;9,175;94,1;1,3275;2,735;383
C-118;Nagylózs;nincs adat;nincs adat;9,33;C-118;5,436666667;41,33333333;0,063333333;0,1;1,727789625;;5,801333333;53,187;408,6666667;9;135,1333333;1,126666667;3;417,3333333
A-31;Nagylózs;nincs adat;nincs adat;3,07;A-31;6,92;40;0,06;0,1;1,849961686;;3,893;102,201;426;9;90,8;2,11;5,17;388
B-47b;Nagylózs;nincs adat;nincs adat;3,06;B-47b;7,303333333;35,33333333;0,026666667;1,33408;1,444969423;;6,036666667;121,6793333;361;29,4;375,3666667;1,346666667;3,363333333;253,6666667
B-61;Nagylózs;nincs adat;nincs adat;5,1;B-61;6,88;32;0,02;0,8338;1,39970532;;4,063;74,1;1159;138,3;121,7;1,23;3,81;407
B-65a;Nagylózs;nincs adat;nincs adat;15,04;B-65a;6,998333333;41;0,046666667;2,387366667;1,742525599;;7,3615;244,9583333;412,1666667;10,43333333;73,06666667;1,82;4,215;273,1666667
B-75;Nagylózs;nincs adat;nincs adat;6,04;B-75;6,993333333;29,66666667;0,02;0,67408;1,336450312;;16,02733333;138,773;381;12,66666667;98,4;1,436666667;3,206666667;341,3333333
B-76;Nagylózs;nincs adat;nincs adat;3;B-76;6,585;27;0,02;0,33704;1,30675964;;2,6035;104,9345;315,5;9;50,35;1,39;2,755;358,5
A-2;Nagylózs;nincs adat;nincs adat;8,94;A-2;7,26;38,5;0,035;10,25574;1,624284905;;8,298;65,4065;184;31,15;192,5;0,655;1,42;106,5
A-27;Nagylózs;nincs adat;nincs adat;4,35;A-27;7,463333333;39,33333333;0,06;6,90932;1,706474353;;6,191666667;303,5;415,6666667;12,4;47,4;1,09;2,613333333;113,6666667
B-49;Nagylózs;nincs adat;nincs adat;3,73;B-49;7,54;32;0,02;4,33576;1,39970532;;3,696;166,088;290;41,5;451,4;1,05;2,57;60
B-62;Nagylózs;nincs adat;nincs adat;8,7;B-62;7,155;37;0,045;1,58422;1,478047036;;4,893;58,685;312,5;47,15;251,3;0,795;3;213
B-63a;Nagylózs;nincs adat;nincs adat;12,98;B-63a;7,37;43;0,07;1,2639;1,862773055;;4,905;318,361;510;12,5;67,1;1,185;3,715;200
B-64;Nagylózs;nincs adat;nincs adat;7,2;B-64;7,16;31;0,05;0,50556;1,39299244;;13,955;136,225;389;9;91,8;2,16;5,47;394
B-65b;Nagylózs;nincs adat;nincs adat;10,5;B-65b;6,998333333;41;0,046666667;2,387366667;1,742525599;;7,3615;244,9583333;412,1666667;10,43333333;73,06666667;1,82;4,215;273,1666667
B-70b;Nagylózs;nincs adat;nincs adat;7;B-70b;6,55;33,4;0,044;1,225936;1,455371521;;9,4338;190,0688;365,2;9,06;60,34;1,792;2,062;340
B-63b;Nagylózs;nincs adat;nincs adat;3;B-63b;7,37;43;0,07;1,2639;1,862773055;;4,905;318,361;510;12,5;67,1;1,185;3,715;200
A-20;Nagylózs;nincs adat;nincs adat;7,87;A-20;7,525;51;0,045;1,0803;1,855844352;;3,4025;129,832;240;43,4;569,25;1,155;2,51;37
B-47c;Nagylózs;nincs adat;nincs adat;14,87;B-47c;7,303333333;35,33333333;0,026666667;1,33408;1,444969423;;6,036666667;121,6793333;361;29,4;375,3666667;1,346666667;3,363333333;253,6666667
B-54;Nagylózs;nincs adat;nincs adat;6,78;B-54;7,54;26,5;0,02;0,4155;1,242904907;;2,2265;406,3285;216,5;21,85;115,75;2,04;3,815;360
C-90;Nagylózs;nincs adat;nincs adat;8,5;C-90;5,77625;38,75;0,02;0,1;1,560048729;;3,3315;50,231375;334,875;11,375;106,825;1,67;3,16;447,125
C-91b;Nagylózs;nincs adat;nincs adat;16,91;C-91b;6,67;40;0,05;0,50556;1,732097091;;3,42;76,637;319;9;79,5;1,85;3,64;379
B-74;Nagylózs;nincs adat;nincs adat;17,04;B-74;7,14;30,75;0,02;2,1065;1,428973795;;3,51775;130,47525;332,25;10,7;58,375;1,675;3,535;210
B-42;Nagylózs;nincs adat;nincs adat;4;B-42;6,156666667;28,33333333;0,033333333;0,1;1,393876949;;9,130333333;182,6203333;367;9;27,43333333;1,756666667;3,15;332,3333333
C-91a;Nagylózs;nincs adat;nincs adat;5;C-91a;6,67;40;0,05;0,50556;1,732097091;;3,42;76,637;319;9;79,5;1,85;3,64;379
