TABLA_lab;KOZIG;BLOKK;HRSZ;TER;MINTA_JELE;PH_KCL;KA;SO;MESZ;HUMUSZ;S;NO3;P2O5;K2O;NA;MG;ZN;CU;MN
A15;Nagylózs;4;n.a.;18,9653;;6,57;29,25;0,02;0,1;1,673649763;32,72064486;15,4725;38,50275;127,25;21,2;122,65;0,65;1,8825;245,5
A18;Nagylózs;3;n.a.;12,644;;6,79;28,66666667;0,023333333;0,396826667;2,1482529;25,66139478;15,616;898,2523333;267,6666667;30,13333333;146,4666667;4,063333333;5,44;377,3333333
A20;Nagylózs;2;n.a.;7,1;;7,185;44;0,07;1,98096;2,293812092;27,15538009;13,267;110,0045;229,5;31,45;417,15;0,65;2,565;57
A26;Röjtökmuzsaj;5;n.a.;23,5571;;5,185;29;0,02;2,823026667;1,586093262;21,88190405;16,39448333;88,47916667;192,6666667;14,46666667;120,4166667;1,268333333;1,916666667;368,6666667
A27;Nagylózs;3;n.a.;11,35;;7,303333333;37;0,05;6,93336;1,890596399;30,40699518;12,43076667;137,8423333;192,3333333;22,5;149,3333333;0,703333333;2,863333333;35,33333333
B42a;Nagylózs;1;n.a.;3,9992;;6,53;29;0,02;0,1;1,636286087;31,03969899;16,794;121,469;164;14,1;112,3;0,87;2,7;255
B42b;Nagylózs;1;n.a.;4,1605;;6,93;28;0,02;0,1;1,485707613;32,70254001;16,398;70,416;126;13,8;116,8;2,15;3,2;302
B44a;Ebergõc;4;n.a.;19,2;;6,065;27,75;0,02;0,5817;1,205266496;39,24109703;14,768;47,36425;125,75;14,05;72,575;0,65;1,31;208,75
B44;Nagylózs;3;n.a.;11,2;;5,83;26;0,02;2,64128;3,219998793;19,15885256;22,193;33,613;197;9;108,1;1,88;23,77;133
B46a;Nagylózs;3;n.a.;14,5;;5,533333333;26,66666667;0,02;0,1;1,254820619;26,42069616;18,70333333;45,96333333;136,3333333;11,4;107,0333333;0,666666667;2,263333333;239,3333333
B46b;Nagylózs;3;n.a.;10,71;;6,45;28,5;0,02;0,1;1,420456941;37,13678272;13,87275;74,2125;149;11,625;105,025;0,6525;2,675;256,25
B47a;Röjtökmuzsaj;2;n.a.;8,1;;7,14;35;0,04;0,1;1,867173081;29,52818029;12,45;129,389;175;15,3;187,5;0,89;2,38;231
B47b;Röjtökmuzsaj;3;n.a.;14;;7,32;34,5;0,03;1,81588;1,796903126;30,74440499;14,4645;117,809;287,5;21,95;248,3;0,795;2,225;75,5
B47c;Röjtökmuzsaj;1;n.a.;2;;7,38;31;0,02;1,98096;1,365244833;36,10694282;9,2852;137,539;187;16,2;120,5;0,78;1,84;70
B49;Röjtökmuzsaj;1;n.a.;3,79;;6,95;32;0,02;0,1;1,806941691;34,53707574;9,7355;269,159;182;21,1;145,8;2,03;4,39;385
B54a;Röjtökmuzsaj;2;n.a.;5,49;;6,36;29;0,02;0,1;1,566016133;21,45485008;7,4636;92,619;209;11,4;142,9;1,06;3,94;344
B54b;Röjtökmuzsaj;1;n.a.;1,3;;6,14;30;0,02;0,1;1,345167704;23,02471716;9,8486;83,412;158;16,3;143,3;1,17;3,72;334
B55;Röjtökmuzsaj;3;n.a.;12,74;;5,303333333;29,33333333;0,02;0,770373333;1,642978464;15,55666616;11,2294;45,13333333;160;12,3;129;0,776666667;2,126666667;272,6666667
B59;Röjtökmuzsaj;3;n.a.;10,9967;;5,276666667;31,66666667;0,02;0,440213333;1,502438554;16,06952329;14,65833333;51,79066667;153,6666667;17,26666667;134,8;0,99;2,406666667;352,3333333
B61;Röjtökmuzsaj;1;n.a.;4,6;;6,77;37;0,04;0,66032;1,525861873;22,56571355;20,777;30,702;175;20,8;289,7;0,78;3,71;405
B62;Röjtökmuzsaj;2;n.a.;8,7;;7,195;43;0,05;2,36112;2,349024199;28,47360243;19,206;169,469;244;42,55;217,95;0,715;2,325;73
B63;Röjtökmuzsaj;4;n.a.;15,74;;6,5625;44,5;0,055;1,8282;2,595499633;38,33380988;12,7895;157,7665;264;22,95;299,15;0,7925;4;194,75
B64;Röjtökmuzsaj;2;n.a.;7,2;;6,83;38;0,04;1,4958;2,237499684;58,12654625;10,1535;81,7475;189;26,3;256,75;0,705;3,015;197,5
B65;Röjtökmuzsaj;5;n.a.;24,5;;6,724;40,2;0,034;1,72848;1,933199727;40,57232928;13,29;64,6808;178,4;20,56;175,74;0,764;2,26;245,4
B66;Röjtökmuzsaj;1;n.a.;2,07;;7,12;39;0,09;1,6508;2,429332718;25,11787326;41,479;1311,479;337;28,7;111,4;1,5;3,32;167
B68;Röjtökmuzsaj;1;n.a.;2,7;;6,485;32;0,025;0,66032;2,153272182;20,25785649;17,506;71,5045;191,5;17,75;207,05;2,165;4,07;417
B70;Röjtökmuzsaj;9;n.a.;43,937;;6,589166667;32,41666667;0,021666667;0,25926;1,73094561;29,16323343;13,7082;76,21241667;199,9166667;14,075;178,9833333;1,175833333;3,425833333;379,6666667
B74;Ebergõc;4;n.a.;16,43;;7,31;33;0,0325;2,22858;2,037828685;32,44391963;10,838675;681,664;206,75;15,775;95,75;0,9025;2,74;86,25
B76;Ebergõc;1;n.a.;3,3;;6,875;36,5;0,035;3,324;2,147999696;52,02325889;15,587;128,1435;154;35;348,7;0,76;2,04;237,5
B78;Röjtökmuzsaj;9;n.a.;43,1739;;7,16;37,75;0,035;3,21906;1,733283721;26,44338161;14,586625;200,28825;211,375;17,075;104,2;0,68625;1,68875;104,75
B79;Röjtökmuzsaj;1;n.a.;3,3;;7,28;39;0,02;5,28256;2,1482529;30,25857045;11,707;1450,679;285;19,7;199,5;1,31;2,93;73
C102;Sopronkövesd;3;n.a.;10,333;;6,783333333;46;0,066666667;0,83704;2,30073279;29,86019363;16,41133333;87,408;236;16,16666667;234;1,01;2,56;336,6666667
C103;Sopronkövesd;2;n.a.;7,35;;7,21;43,5;0,055;7,92384;1,882230928;32,44391963;15,6965;153,714;168;14,05;81,85;0,65;1,37;46
C104;Sopronkövesd;2;n.a.;7,78;;6,93;45;0,07;1,20556;1,912346623;31,39734158;18,6;83,984;147,5;16,65;176,65;0,65;1,945;118,5
C108a;Sopronkövesd;1;n.a.;3,87;;5,97;37,5;0,04;0,1;1,852115234;34,53707574;12,5234;76,849;151,5;14,65;185,6;0,78;2,58;227,5
C108b;Sopronkövesd;1;n.a.;1,97;;6,725;42,5;0,05;0,1;1,912346623;28,54543746;15,8515;139,174;184;17,75;193,05;1,47;3,355;397
C113;Sopronkövesd;2;n.a.;6;;6,39;43,5;0,06;0,1;2,311003919;23,51306699;11,968;64,934;274;24,8;235,8;1,36;3,275;310,5
C117;Sopronkövesd;4;n.a.;17,78;;6,315;40,75;0,025;0,1;1,613699316;22,58692382;11,0705;41,6085;145,25;19,55;194,425;1,24;2,6775;405,25
C118;Sopronkövesd;2;n.a.;8,5601;;5,33;40,5;0,02;0,1;1,816980256;18,56839136;9,87855;17,6995;182;31,75;240,15;0,975;2,93;389,5
C80;Sopronkövesd;2;n.a.;8,529;;6,87;40,5;0,025;0,99048;2,583188825;33,17955008;13;91,455;272,5;12,65;238,7;1,155;3,205;392
C83;Nagylózs;3;n.a.;14,09;;6,1975;33,25;0,025;0,8504;1,879616521;27,04002704;10,478175;66,50525;209,25;17,625;150,425;1,015;1,9625;373,25
C88;Sopronkövesd;5;n.a.;22,96;;7,036;38,6;0,026;2,377152;1,754308753;26,85714763;7,90058;79,6482;219,6;16,14;182,82;0,838;2,796;256
C91;Sopronkövesd;7;n.a.;33,3;;6,72;43;0,05;0,99048;2,077982945;22,56571355;31,41;21,949;178;24,2;234,6;1,26;2,58;332
C98;Sopronkövesd;2;n.a.;7,29;;7,085;41;0,04;0,1;2,187750376;25,37253447;14,9545;241,513;387;16,15;192;1,6;5,17;384,5
C-91a;Sopronkövesd;1;n.a.;5;;6,72;43;0,05;0,99048;2,077982945;22,56571355;31,41;21,949;178;24,2;234,6;1,26;2,58;332
A14;Nagylózs;1;n.a.;5;;6,96;28;0,02;0,1;1,586093262;31,1100471;15,539;111,269;172;29,3;138,5;1,24;3,32;243
A31;Nagylózs;1;n.a.;5;;7,21;44;0,07;6,6032;2,00771299;34,80106963;26,949;141,939;157;18,1;86,9;0,65;1,83;45
B47 d;Röjtökmuzsaj;1;n.a.;5;;7;31;0,03;0,1;1,676440347;31,92063061;11,84;61,898;238;18,9;208,4;1,56;3,62;289
B47 e;Röjtökmuzsaj;1;n.a.;5;;7,29;30;0,03;0,99048;1,726633172;36,63023184;9,6344;126,939;238;15,2;105,5;1,06;2,48;195
B47 f;Röjtökmuzsaj;1;n.a.;5;;7,05;35;0,02;0,1;1,626247522;39,769966;10,722;103,209;210;15,8;178,3;1,56;3,44;308
C90;Sopronkövesd;7;n.a.;34,74;;5,598571429;42,14285714;0,021428571;0,346102857;1,898720119;49,52734533;5,369185714;194,9128571;313,8571429;12,61428571;215,8571429;2,17;3,705714286;434,1428571
C91b;Sopronkövesd;6;n.a.;30;;5,771666667;40;0,021666667;0,251893333;1,932790064;56,24333151;2,92405;179,6116667;339,1666667;10,95;232,9833333;2,48;3,696666667;460,1666667
A23;Nagylózs;3;n.a.;14,17;;5,973333333;44,66666667;0,036666667;2,168426667;2,101049608;62,5685694;4,362566667;285,6;392,3333333;17,66666667;190,4666667;1,99;2,606666667;251,3333333
A2;Sopronkövesd;2;n.a.;6,94;;6,105;46,5;0,02;2,35984;3,134016895;67,95356922;8,3294;2284,57;678,5;9,65;199,65;9,225;3,115;208
B75;Ebergõc;3;n.a.;12;;5,93;36;0,026666667;0,819946667;1,767456773;53,16618875;3,8463;1251,573333;355,3333333;9,533333333;273,4;1,78;4,44;356,6666667
C84;Sopronkövesd;5;n.a.;21,03;;5,828;41,2;0,02;0,626816;1,803157059;52,20885545;7,75764;98,6716;266,2;12,52;226,7;2,02;3,404;371,4
