Tabla_techn;Termohelyi_kat_techn;Tnov_nev;Tnov_term;Evet_nev;Evet_term;Evet_N;Evet_P2O5;Evet_K2O;Evet_szarlsz;Evet_szarlb;Evet_kar;Ontozes;Ontozes_hat;Istallotr;Egyb_szervtr;Nitrat_erz
A15;3;õszi árpa;6;;;;;;;;;;;;;1
A18;3;bíborhere;0,7;;;;;;;;;;;;;1
A20;3;õszi búza;6,5;;;;;;;;;;;;;1
A26;2;bíborhere;0,7;;;;;;;;;;;;;1
A27;2;õszi búza;6,5;;;;;;;;;;;;;1
B42a;2;bíborhere;0,7;;;;;;;;;;;;;1
B42b;2;lucerna;6;;;;;;;;;;;;;1
B44a;2;õszi búza;6,5;;;;;;;;;;;;;1
B44b;2;õszi búza;6,5;;;;;;;;;;;;;1
B46a;2;repce;3,5;;;;;;;;;;;;;1
B46b;2;repce;3,5;;;;;;;;;;;;;1
B47a;2;õszi búza;6,5;;;;;;;;;;;;;1
B47b;2;õszi búza;6,5;;;;;;;;;;;;;1
B47c;2;õszi búza;6,5;;;;;;;;;;;;;1
B49;2;õszi búza;6,5;;;;;;;;;;;;;1
B54a;2;õszi búza;6,5;;;;;;;;;;;;;1
B54b;2;õszi búza;6,5;;;;;;;;;;;;;1
B55;2;repce;3,5;;;;;;;;;;;;;1
B59;3;bíborhere;0,7;;;;;;;;;;;;;1
B61;3;õszi búza;6,5;;;;;;;;;;;;;1
B62;3;õszi búza;6,5;;;;;;;;;;;;;1
B63;2;õszi búza;6,5;;;;;;;;;;;;;1
B64;3;õszi búza;6,5;;;;;;;;;;;;;1
B65;3;õszi búza;6,5;;;;;;;;;;;;;1
B66;2;repce;3,5;;;;;;;;;;;;;1
B68;2;repce;3,5;;;;;;;;;;;;;1
B70;2;repce;3,5;;;;;;;;;;;;;1
B74;3;õszi búza;6,5;;;;;;;;;;;;;1
B76;2;õszi búza;6,5;;;;;;;;;;;;;1
B78;2;bíborhere;0,7;;;;;;;;;;;;;1
B79;3;repce;3,5;;;;;;;;;;;;;1
C102;2;repce;3,5;;;;;;;;;;;;;1
C103;2;õszi búza;6,5;;;;;;;;;;;;;1
C104;2;õszi búza;6,5;;;;;;;;;;;;;1
C108a;2;õszi búza;6,5;;;;;;;;;;;;;1
C108b;2;õszi búza;6,5;;;;;;;;;;;;;1
C113;2;repce;3,5;;;;;;;;;;;;;1
C117;2;repce;3,5;;;;;;;;;;;;;1
C118;2;repce;3,5;;;;;;;;;;;;;1
C80;2;repce;3,5;;;;;;;;;;;;;1
C83;2;napraforgó;3,5;;;;;;;;;;;;;1
C88;2;napraforgó;3,5;;;;;;;;;;;;;1
C91;2;kukorica;10;;;;;;;;;;;;;1
C98;2;napraforgó;3,5;;;;;;;;;;;;;1
C-91a;2;õszi búza;6,5;;;;;;;;;;;;;1
A14;3;õszi búza;6;;;;;;;;;;;;;1
A31;2;õszi búza;5,5;;;;;;;;;;;;;1
B47 d;2;õszi búza;6,5;;;;;;;;;;;;;1
B47 e;2;õszi búza;6,5;;;;;;;;;;;;;1
B47 f;2;õszi búza;6,5;;;;;;;;;;;;;1
C90;2;kukorica;11;;;;;;;;;;;;;1
C91b;2;szója;2,9;;;;;;;;;;;;;1
A23;2;kukorica;9,5;;;;;;;;;;;;;1
A2;2;napraforgó;2,7;;;;;;;;;;;;;1
B75;2;napraforgó;2,5;;;;;;;;;;;;;1
C84;2;szója;2,9;;;;;;;;;;;;;1
